Producto;IRC;EAN;DESCRIPCION;LOTE;ESTADO INV;ESTADO LOTE;ALMACEN;PASILLO;COLUMNA;NIVEL;DIG;STOCK
0-061-217-372;99350213691;3616305721044;SH - CT RISE AND WINE  372;5094;DIS;DIS;COTY;026;304;02;63;352
0-061-217-340;99350212308;074170443738;SH - CT RED-IANCE  340;5098;DIS;DIS;COTY;026;304;04;75;241
0-112-816-400;99350083502;3614220954127;RIM - MATCHP BASE - 400;5129;DIS;DIS;COTY;026;305;02;66;378
0-293-558-004;27743-;7891350042818;RISQUE - VERDE ESMERALDA;4033C1         ;DIS;DIS;COTY;026;306;03;19;754
0-061-217-400;99350213697;3616305721105;SH - CT CONFIDENT QUEEN  400;4320;DIS;DIS;COTY;026;306;04;44;171
0-061-217-453;99350212316;3616305212658;SH - CT SERENE GREEN  453;5029;DIS;DIS;COTY;026;311;02;42;146
0-112-900-030;99350212453;3616305714831;RIM - MULTITSK BASE-CORR - 030;4269;DIS;DIS;COTY;026;311;03;24;42
0-192-096-;7795646920968;7795646920968;MF - COD UNI DIVINE LASHES;324002;DIS;PAV;COTY;026;311;04;88;2
0-191-031-003;99350194667;3616305243294;MF - 2000 CAL COTTON CANDY 003;4215;DIS;DIS;COTY;026;311;20;53;824
0-361-789-001;2036178900109;2036178900109;SH - NUEVO MUEBLE 1 MT INTERIOR;7326;DIS;DIS;COTY;026;311;30;79;1
0-112-550-;7795646125509;7795646125509;RIM - WONDER LASH FILLER GRANDE COD UNI;4279;DIS;DIS;COTY;026;311;50;51;38
0-061-121-;99350051402;074170450774;SH - HARD AS NAIL CLEAR V3;4340;DIS;DIS;COTY;026;311;60;75;1200
0-061-217-474;99350213692;3616305721051;SH - CT GORGEOUS GRANITE  474;4319;DIS;DIS;COTY;026;312;04;73;65
0-410-607-002;2041060700200;2041060700200;RML - MUEBLE PARED 1 M - 2022;7069;REC;DIS;COTY;026;312;30;12;1
0-362-204-;99350209773;3616305064424;PAPTOKYO EDP 100ML TST;4263S1         ;DIS;DIS;COTY;026;312;50;52;920
0-190-090-001;99350148308;3616303408961;MF - MASTERPIECE MASCARA 2 IN 1  001;4142;DIS;DIS;COTY;026;313;02;29;233
0-111-811-;7795646118112;7795646118112;RML - COMBO 13 MELI;4058;DIS;DIS;COTY;026;313;03;72;24
0-192-031-075;99350029459;3614227962880;MF - MIR TOUCH FND GOLDEN 75;3272;DIS;DIS;COTY;026;314;01;45;27
0-112-420-070;99350225989;3616304825040;RIM - LF BASE 35HS - 070;5083;DIS;DIS;COTY;026;314;02;74;417
0-293-000-190;21950-;7891182020336;RISQUE- GRANULADO ROSE 190;5039C1         ;DIS;DIS;COTY;026;314;03;38;622
0-111-520-001;34223421001;3614224525118;RIM - MAGNIF PALET - 001;427105;DIS;DIS;COTY;026;314;04;37;405
0-293-558-005;27745-;7891350042832;RISQUE - OI, SUMIDA;4266C1         ;DIS;DIS;COTY;026;315;02;5;775
0-361-380-842;2036138084207;2036138084207;SH - GWP MG 3.0 STARRY NIGHT 842;2095;SCR;DIS;COTY;026;315;03;10;44
0-256-102-;99350157666;3616303461959;DB CLASSIC EDT 50ML;4157;DIS;DIS;COTY;026;315;04;55;159
0-361-380-601;2036138060102;2036138060102;SH - GWP MG CRYING OUT CLOUD 601;2119;SCR;DIS;COTY;026;316;02;3;49
0-256-112-;99350157668;3616303461973;DB BLUE EDT 50ML;4165;DIS;DIS;COTY;026;316;03;15;159
0-112-211-002;99350059862;3616301173052;RIM - NAT BRONZER POLVO - 002;5062;DIS;DIS;COTY;026;316;04;23;107
0-293-000-230;8777-;7891182026918;RISQUE- ROSE BOMBOM 230;5064C1         ;DIS;DIS;COTY;026;321;04;96;526
0-112-420-500;99350226000;3616304825255;RIM - LF BASE 35HS - 500;4150;DIS;DIS;COTY;026;321;20;88;1239
0-109-042-001;99350200478;3616305499844;RIM - LIP OIL BRILLO LABIAL - 001;4275;DIS;DIS;COTY;026;321;30;76;271
0-412-210-085;99350186942;3616305121028;RIM - TST CORRECT MULTITASKER - 085;3178;DIS;DIS;COTY;026;321;40;58;214
0-111-122-003;34111095003;3607342923904;RIM - EXTRA 3D LASH MASC - BLACK 003;5035;DIS;DIS;COTY;026;321;60;97;2436
0-412-208-203;34856805203;3614226899996;RIM -TST BASE LASTING MATTE - 203;3060;DIS;DIS;COTY;026;321;70;61;200
0-061-535-223;99350128203;074170453942;SH - ID SUGAR POPPY 223;5029;DIS;DIS;COTY;026;321;80;77;504
0-112-900-060;99350212461;3616305714916;RIM - MULTITSK BASE-CORR - 060;4257;DIS;DIS;COTY;026;321;90;1;936
0-412-904-;2041290400000;2041290400000;RML - LOW COST;6225;SCR;DIS;COTY;026;321;95;58;1
0-412-904-;2041290400000;2041290400000;RML - LOW COST;6226;SCR;DIS;COTY;026;321;95;68;1
0-412-904-;2041290400000;2041290400000;RML - LOW COST;6227;SCR;DIS;COTY;026;321;95;37;1
0-412-904-;2041290400000;2041290400000;RML - LOW COST;6228;SCR;DIS;COTY;026;321;95;56;1
0-112-189-004;99350197770;3616305401021;RIM - MULTITSK BASE - 004;4239;DIS;DIS;COTY;026;322;02;33;200
0-112-900-050;99350212460;3616305714909;RIM - MULTITSK BASE-CORR - 050;4235;DIS;DIS;COTY;026;322;04;20;60
0-112-189-004;99350197770;3616305401021;RIM - MULTITSK BASE - 004;4261;DIS;DIS;COTY;026;322;30;75;237
0-409-529-900;99350161640;3616304354601;RIM-TST LABIAL LIQ LASTING M MATTE -900;3164;DIS;DIS;COTY;026;322;40;20;117
0-412-828-020;99350122268;3616302989720;RIM - TST CORRECT KIND & FREE - 020;3284;DIS;DIS;COTY;026;322;50;98;240
0-293-000-230;8777-;7891182026918;RISQUE- ROSE BOMBOM 230;5100C1         ;DIS;DIS;COTY;026;322;60;43;2874
0-293-000-013;26604-;7891350040487;RISQUE - CREM AMAR;4264C1         ;DIS;DIS;COTY;026;322;70;54;858
0-111-550-003;99350182090;3616304776328;RIM - T SEEKER MASC - BLACK WP 003;4211;DIS;DIS;COTY;026;322;80;49;1485
0-112-828-020;99350122261;3616302989669;RIM - KF CORRECT - 020;5017;DIS;DIS;COTY;026;322;90;4;1200
0-112-420-150;99350226009;3616304825071;RIM - LF BASE 35HS - 150;5085;DIS;DIS;COTY;026;323;02;31;417
0-112-420-410;99350225993;3616304825217;RIM - LF BASE 35HS - 410;4249;DIS;DIS;COTY;026;324;02;17;417
0-112-401-400;99350227998;3616306361799;RIM - KF BASE MATTE - 400;4274;DIS;DIS;COTY;026;324;03;65;9
0-556-122-;2055612200001;2055612200001;DB - GWP CLASSIC HOMME EDT 50ML;3045;DIS;DIS;COTY;026;324;04;39;219
0-111-176-001;99350239513;3616306822399;RIM -WONDER BOND L FILLER MASC-BLACK 001;5035;DIS;DIS;COTY;026;325;02;78;34
0-061-180-;99350111130;3616302973880;SH - TREATMENT BI-PHASE SERUM;4075;DIS;DIS;COTY;026;325;03;95;137
0-112-211-003;99350059859;3616301173021;RIM - NAT BRONZER POLVO - 003;4348;DIS;DIS;COTY;026;325;04;11;137
0-192-040-001;33810011001;3614227917941;MF - MIRACLE PREP PRIMER;4271;DIS;DIS;COTY;026;326;02;84;116
0-191-011-015;33400004015;8005610629612;MF - LIPFINITY VELVET MATTE 015 NUDE;4312;DIS;DIS;COTY;026;326;03;5;6
0-112-900-040;99350212462;3616305714923;RIM - MULTITSK BASE-CORR - 040;4248;DIS;DIS;COTY;026;326;04;56;370
0-112-900-055;99350212459;3616305714893;RIM - MULTITSK BASE-CORR - 055;4253;DIS;DIS;COTY;026;331;03;44;395
0-409-345-530;99350055326;3616301231288;RIM-TST LABIAL BARRA LF EXTR MATTE -530;3258;DIS;DIS;COTY;026;331;20;2;360
0-412-870-;2041287000008;2041287000008;PUNTERA RIMMEL INTERIOR;2257;SCR;DIS;COTY;026;331;30;92;1
0-412-870-;2041287000008;2041287000008;PUNTERA RIMMEL INTERIOR;2258;SCR;DIS;COTY;026;331;30;44;1
